# alpha mean_ana_energy acceptance_rate
0.100000000000 130.571796956351 0.874618000000
0.140000000000 96.568565915098 0.873552000000
0.180000000000 78.294334768747 0.876146000000
0.220000000000 67.754697955882 0.874030000000
0.260000000000 61.868798790092 0.874368000000
0.300000000000 56.953566993843 0.872930000000
0.340000000000 53.738147736876 0.873890000000
0.380000000000 51.904020708633 0.874664000000
0.420000000000 50.832117350247 0.873808000000
0.460000000000 50.194220156948 0.873736000000
0.500000000000 50.000000000000 0.874418000000
0.540000000000 50.160855895008 0.874498000000
0.580000000000 50.533121997109 0.874396000000
0.620000000000 51.278141159556 0.875108000000
0.660000000000 51.735251193960 0.873874000000
0.700000000000 52.866957279191 0.874218000000
0.740000000000 54.084768094789 0.875146000000
0.780000000000 55.288139159737 0.874890000000
0.820000000000 56.728520117068 0.875286000000
0.860000000000 57.169855685003 0.874190000000
0.900000000000 58.457087730807 0.873926000000
