# alpha mean_ana_energy acceptance_rate
0.100000000000 129.611895908098 0.960314000000
0.140000000000 95.710876830416 0.948216000000
0.180000000000 78.411990186295 0.938740000000
0.220000000000 67.916942444157 0.928516000000
0.260000000000 61.124430691370 0.918464000000
0.300000000000 56.728708244807 0.909176000000
0.340000000000 53.606089802452 0.900848000000
0.380000000000 51.844086926791 0.891358000000
0.420000000000 50.771875245133 0.883212000000
0.460000000000 50.194933876376 0.875918000000
0.500000000000 50.000000000000 0.867740000000
0.540000000000 50.142790721241 0.859826000000
0.580000000000 50.567285846606 0.853562000000
0.620000000000 51.200335368910 0.845606000000
0.660000000000 51.852516646887 0.838906000000
0.700000000000 52.791325260345 0.832156000000
0.740000000000 53.877579797373 0.824916000000
0.780000000000 55.066105765747 0.819224000000
0.820000000000 56.204946377273 0.811404000000
0.860000000000 57.617188171699 0.805596000000
0.900000000000 58.849594173052 0.799940000000
