# r_centers rho
0.060000000000 0.255395052985
0.180000000000 0.247898284124
0.300000000000 0.234630914387
0.420000000000 0.225259664500
0.540000000000 0.208693423487
0.660000000000 0.185912641827
0.780000000000 0.161251545909
0.900000000000 0.137191100427
1.020000000000 0.116052884866
1.140000000000 0.092372865825
1.260000000000 0.073589372073
1.380000000000 0.055095505673
1.500000000000 0.041416139276
1.620000000000 0.029786545540
1.740000000000 0.020740088137
1.860000000000 0.014132176363
1.980000000000 0.009447128624
2.100000000000 0.005783869050
2.220000000000 0.003751634193
2.340000000000 0.002164454798
2.460000000000 0.001214574073
2.580000000000 0.000743841162
2.700000000000 0.000386325291
2.820000000000 0.000205892598
2.940000000000 0.000117432033
