# r_centers rho
0.060000000000 0.276732315165
0.180000000000 0.279799731962
0.300000000000 0.257612611859
0.420000000000 0.240992162203
0.540000000000 0.216106685126
0.660000000000 0.193251679164
0.780000000000 0.165507920413
0.900000000000 0.140187689590
1.020000000000 0.115450430095
1.140000000000 0.090723000301
1.260000000000 0.069940176592
1.380000000000 0.051833862502
1.500000000000 0.038593172682
1.620000000000 0.027208638671
1.740000000000 0.018826208023
1.860000000000 0.012036859111
1.980000000000 0.007926063532
2.100000000000 0.005055885182
2.220000000000 0.003053919892
2.340000000000 0.001885855714
2.460000000000 0.000992669652
2.580000000000 0.000576216976
2.700000000000 0.000326341316
2.820000000000 0.000166433084
2.940000000000 0.000100554526
