# alpha mean_ana_energy acceptance_rate
0.400000000000 246.963985818947 0.616560000000
0.547768598136 242.736632213830 0.538480000000
0.506364161329 241.415287159472 0.562770000000
0.500158760780 241.421967610336 0.564900000000
0.500012102764 241.421462965608 0.561720000000
0.499999812413 241.421499912378 0.559690000000
0.499999990150 241.421499983339 0.562350000000
0.500000000149 241.421500000344 0.561700000000
0.500000000004 241.421499999995 0.565630000000
0.500000000000 241.421500000000 0.562290000000
