# alpha mean_ana_energy acceptance_rate
0.400000000000 271.170735711626 0.640870000000
0.527328608195 267.092428458568 0.564850000000
0.482536355052 266.288694791715 0.593900000000
0.483493617180 266.211848793189 0.589440000000
0.482652029943 266.133546956760 0.589400000000
0.484041502906 266.104109142679 0.588390000000
0.483416417046 266.078056471585 0.591730000000
0.484677518584 266.241351286678 0.587740000000
0.482884733656 266.169415929554 0.588890000000
0.481176659802 266.167891973769 0.590150000000
0.483090064897 266.177071045735 0.589810000000
0.482961964759 266.204116870433 0.593420000000
0.483657176290 266.192099878448 0.587730000000
0.483274857225 266.191187807155 0.590730000000
