# r_centers rho
0.062500000000 0.177387733373
0.187500000000 0.168814102061
0.312500000000 0.162818120275
0.437500000000 0.146352622705
0.562500000000 0.130897374311
0.687500000000 0.113572407725
0.812500000000 0.093940054733
0.937500000000 0.073907261214
1.062500000000 0.057821738927
1.187500000000 0.043818233543
1.312500000000 0.031876440577
1.437500000000 0.022977041182
1.562500000000 0.015247469771
1.687500000000 0.010377065227
1.812500000000 0.006693067170
1.937500000000 0.004032478551
2.062500000000 0.002595089723
2.187500000000 0.001507039022
2.312500000000 0.000849904133
2.437500000000 0.000478372054
