Alpha                       Energy
0.4                         24.96335808089101
0.4661998895285956          24.450829521387483
0.48328833205910143         24.410986384120942
0.4906683751970348          24.404864966856753
0.49422935393107875         24.398106490642103
0.4957781379392321          24.397462228411626
0.4965654581150073          24.397560771059325
0.4970188406322182          24.397949833467322
0.49720904361472257         24.398823741851988
0.4973114471497023          24.399150789915783
