# Iteration Alpha
0.000000000000 0.400000000000
1.000000000000 0.467036170465
2.000000000000 0.477921684196
3.000000000000 0.484318328796
4.000000000000 0.486852043444
5.000000000000 0.488251204854
6.000000000000 0.488556303005
7.000000000000 0.488409884339
8.000000000000 0.488619000197
9.000000000000 0.489182628781
10.000000000000 0.489192167538
11.000000000000 0.489069271301
12.000000000000 0.488390851318
13.000000000000 0.488222064233
14.000000000000 0.488564515529
15.000000000000 0.488453407271
16.000000000000 0.488709061846
