# alpha mean_ana_energy acceptance_rate
0.200000000000 64.406617534346 0.911500000000
0.270000000000 50.925364805245 0.880600000000
0.340000000000 41.844139301794 0.866300000000
0.410000000000 36.582194022136 0.842700000000
0.480000000000 34.157194220650 0.822500000000
0.550000000000 31.590936158895 0.810200000000
0.620000000000 29.741359304479 0.785600000000
0.690000000000 28.671911742557 0.773000000000
0.760000000000 28.082962210875 0.732200000000
0.830000000000 27.709593418374 0.742200000000
0.900000000000 27.465435045058 0.713200000000
