# alpha mean_ana_energy acceptance_rate
0.400000000000 129.878869099883 0.630520000000
0.424275679896 128.371684581728 0.624760000000
0.443474413195 127.918291889801 0.610700000000
0.456940827928 127.452789297968 0.601660000000
0.467489971050 127.364806145286 0.593920000000
0.473138253447 127.398479534086 0.591180000000
0.477847865900 127.289732586993 0.592220000000
0.481288939816 127.320233985338 0.588780000000
0.483453232135 127.233181675894 0.585200000000
0.484696844982 127.325830274644 0.585400000000
0.485619159063 127.202474814903 0.583100000000
0.486032899040 127.207715521977 0.584860000000
0.486659215964 127.330411841519 0.582020000000
0.487485802915 127.244637865801 0.584020000000
0.487876673641 127.326174279226 0.579520000000
0.488270702033 127.273187995636 0.581320000000
0.489007760612 127.301580872650 0.583140000000
0.489240691386 127.247839721867 0.581780000000
