# dimension n_particles E_vmc std_error variance alpha scale E_exact E_diff
1 1 0.500000000000 0.000000000000e+00 0.000000000000e+00 0.500000000000 0.565685424949 0.500000000000 0.000000000000e+00
1 10 5.000000000000 0.000000000000e+00 0.000000000000e+00 0.500000000000 0.565685424949 5.000000000000 0.000000000000e+00
1 100 50.000000000000 0.000000000000e+00 0.000000000000e+00 0.500000000000 0.565685424949 50.000000000000 0.000000000000e+00
1 500 250.000000000000 0.000000000000e+00 0.000000000000e+00 0.500000000000 0.565685424949 250.000000000000 0.000000000000e+00
2 1 1.000000000000 0.000000000000e+00 0.000000000000e+00 0.500000000000 0.565685424949 1.000000000000 0.000000000000e+00
2 10 10.000000000000 0.000000000000e+00 0.000000000000e+00 0.500000000000 0.565685424949 10.000000000000 0.000000000000e+00
2 100 100.000000000000 0.000000000000e+00 0.000000000000e+00 0.500000000000 0.565685424949 100.000000000000 0.000000000000e+00
2 500 500.000000000000 0.000000000000e+00 0.000000000000e+00 0.500000000000 0.565685424949 500.000000000000 0.000000000000e+00
3 1 1.500000000000 6.991045157951e-20 5.027135618207e-33 0.500000000000 0.565685424949 1.500000000000 0.000000000000e+00
3 10 15.000000000000 8.047888551462e-19 6.661933508241e-31 0.500000000000 0.565685424949 15.000000000000 0.000000000000e+00
3 100 150.000000000000 3.506339230219e-18 1.264573999462e-29 0.500000000000 0.565685424949 150.000000000000 0.000000000000e+00
3 500 750.000000000000 2.258785829357e-17 5.247911416077e-28 0.500000000000 0.565685424949 750.000000000000 0.000000000000e+00
