# alpha mean_ana_energy acceptance_rate
0.400000000000 153.641666369989 0.840680000000
0.485468707552 150.069613068720 0.814310000000
0.493824808501 150.010288656100 0.814370000000
0.497414167367 150.004134665029 0.813000000000
0.498944132625 150.002339084733 0.814220000000
0.499651448072 150.000125288042 0.811920000000
0.499849338972 150.000113889940 0.810620000000
0.499937202174 149.999871961892 0.810470000000
0.499972283819 149.999941419842 0.813030000000
0.499987793029 149.999965426014 0.808370000000
0.499994927901 150.000008148283 0.810610000000
0.499997989771 149.999997365854 0.810590000000
0.499999105603 150.000000580864 0.812120000000
