# p0_x E_ana
1.446617213885 1.500000000000
1.487429621928 1.500000000000
1.242934099429 1.500000000000
1.304849244889 1.500000000000
0.297031639038 1.500000000000
-0.136297914742 1.500000000000
-0.167510994534 1.500000000000
0.178116018455 1.500000000000
0.631076775719 1.500000000000
0.746722468933 1.500000000000
1.030598773335 1.500000000000
0.735135306567 1.500000000000
0.490258460147 1.500000000000
0.188255311627 1.500000000000
-0.459495887114 1.500000000000
-0.510165310191 1.500000000000
-0.015670158460 1.500000000000
0.053449240681 1.500000000000
0.047307400249 1.500000000000
0.047307400249 1.500000000000
0.047307400249 1.500000000000
0.380066919952 1.500000000000
0.303759781719 1.500000000000
0.154084086535 1.500000000000
-0.001536575711 1.500000000000
-0.722184707106 1.500000000000
-0.722184707106 1.500000000000
-0.847807183193 1.500000000000
-0.821056706745 1.500000000000
-0.768830614139 1.500000000000
-0.933471745170 1.500000000000
-0.880783888740 1.500000000000
-0.438791279355 1.500000000000
-0.279761532460 1.500000000000
-0.107733460470 1.500000000000
-0.143854667658 1.500000000000
-0.403136747446 1.500000000000
-0.677247461961 1.500000000000
-0.677247461961 1.500000000000
-0.866184711022 1.500000000000
-0.851607988863 1.500000000000
-0.657662669215 1.500000000000
-0.269937602070 1.500000000000
-0.199868249393 1.500000000000
-0.497741109957 1.500000000000
-0.629367260683 1.500000000000
-0.134755041063 1.500000000000
-0.228390562954 1.500000000000
-0.278366929319 1.500000000000
-0.398787936284 1.500000000000
-0.398787936284 1.500000000000
-0.017732060450 1.500000000000
0.206110696354 1.500000000000
0.407423842018 1.500000000000
0.407423842018 1.500000000000
0.312093265515 1.500000000000
0.215648986474 1.500000000000
0.618371411026 1.500000000000
0.291880923781 1.500000000000
0.378956862056 1.500000000000
0.715317123904 1.500000000000
0.560619651954 1.500000000000
0.505453764405 1.500000000000
0.941184199490 1.500000000000
0.941184199490 1.500000000000
0.579621702156 1.500000000000
0.507780670762 1.500000000000
0.165696298657 1.500000000000
0.165696298657 1.500000000000
0.076247984188 1.500000000000
-0.051508335853 1.500000000000
-0.010810187515 1.500000000000
0.235223390212 1.500000000000
0.192923680110 1.500000000000
-0.025261943677 1.500000000000
0.001206611227 1.500000000000
0.460019118411 1.500000000000
0.403239047084 1.500000000000
0.694300309479 1.500000000000
0.694300309479 1.500000000000
